00000440,00000001,000fffff,18
000003dc,00000003,00080468,301
000003b4,00000003,00080668,442
000003a0,00000002,000fffff,512
000003a0,00000002,000fffff,548
000003f0,00000002,000fffff,806
00000440,00000001,000fffff,1206
00000460,00000001,000fffff,1407
000003dc,00000003,000815e8,1561
00000448,00000002,000fffff,1586
00000420,00000002,000fffff,1871
00000410,00000001,000fffff,2013
00000410,00000001,000fffff,2085
00000434,00000009,000821a8,2401
00000410,00000001,000fffff,2787
00000420,00000002,000fffff,3257
00000434,00000009,000830e8,3499
000003b8,00000001,000fffff,3609
000003b4,00000003,000838a8,4060
000003f0,00000002,000fffff,4406
000003a0,00000002,000fffff,4580
000003c4,00000002,000fffff,4907
000003e4,00000001,000fffff,5070
000003c4,00000002,000fffff,5393
000003dc,00000003,00085128,5827
000003e4,00000001,000fffff,6042
000003f0,00000002,000fffff,6152
00000398,00000001,000fffff,6234
00000468,00000001,000fffff,6520
0000046c,00000001,000fffff,6935
00000410,00000001,000fffff,7143
000003f0,00000002,000fffff,7520
000003b8,00000001,000fffff,7947
000003f0,00000002,000fffff,8402
000003b4,00000003,00087be8,8902
00000398,00000001,000fffff,9150
000003dc,00000003,00088468,9517
00000420,00000002,000fffff,9791
000003c4,00000002,000fffff,10109
000003f0,00000002,000fffff,10508
00000410,00000001,000fffff,10707
000003b8,00000001,000fffff,11079
00000460,00000001,000fffff,11505
00000398,00000001,000fffff,11958
00000434,00000009,0008a9a8,12193
0000046c,00000001,000fffff,12299
00000448,00000002,000fffff,12746
00000468,00000001,000fffff,12820
00000398,00000001,000fffff,12858
000003f0,00000002,000fffff,13118
00000434,00000009,0008b868,13255
000003e4,00000001,000fffff,13584
00000448,00000002,000fffff,13754
00000460,00000001,000fffff,13881
000003a0,00000002,000fffff,13904
00000440,00000001,000fffff,14328
00000448,00000002,000fffff,14672
000003dc,00000003,0008ce68,14845
000003f0,00000002,000fffff,15170
00000420,00000002,000fffff,15605
00000440,00000001,000fffff,15822
00000460,00000001,000fffff,16203
00000420,00000002,000fffff,16811
00000398,00000001,000fffff,17682
000003c4,00000002,000fffff,18191
000003f0,00000002,000fffff,18685
00000398,00000001,000fffff,19415
000003b4,00000003,00081328,19779
00000408,000047e4,00081528,19911
00000410,00000001,000fffff,20198
000003c4,00000002,000fffff,20410
000003b4,00000003,00081d68,20517
000003f0,00000002,000fffff,20809
00000420,00000002,000fffff,20956
00000440,00000001,000fffff,21029
00000460,00000001,000fffff,21338
000003a0,00000002,000fffff,21883
00000448,00000002,000fffff,22039
0000045c,000047f3,00093668,22326
000003b8,00000001,000fffff,22388
00000398,00000001,000fffff,22835
000003b4,00000003,00085268,24333
00000408,000047e4,00085668,24609
00000468,00000001,000fffff,24831
000003b4,00000003,00086028,25323
000003a0,00000002,000fffff,25807
00000420,00000002,000fffff,26050
000003e4,00000001,000fffff,26171
000003a0,00000002,000fffff,26473
00000440,00000001,000fffff,26699
00000468,00000001,000fffff,27009
00000460,00000001,000fffff,27404
00000460,00000001,000fffff,27602
00000408,000047e4,000886e8,28101
000003dc,00000003,00088c28,28494
00000420,00000002,000fffff,28660
000003c4,00000002,000fffff,28744
00000440,00000001,000fffff,29057
00000448,00000002,000fffff,29455
000003e4,00000001,000fffff,29753
00000460,00000001,000fffff,30428
00000420,00000002,000fffff,30622
0000046c,00000001,000fffff,30718
00000440,00000001,000fffff,30767
000003a0,00000002,000fffff,30793
000003b8,00000001,000fffff,30812
000003f0,00000002,000fffff,30817
00000408,000047e4,0008af28,30999
00000434,00000009,0008b068,31098
000003e4,00000001,000fffff,31499
00000448,00000002,000fffff,31705
000003e4,00000001,000fffff,31859
000003b4,00000003,0008bea8,32127
00000408,000047e4,0008c068,32241
00000434,00000009,0008c468,32538
