0000085c,00000011,00080484,48339
0000085c,00000011,00080485,48611
00000818,0000000a,00080401,49488
00000818,0000000a,00080401,49998
00000834,00000001,000ffffe,50484
00000884,00000001,000ffffe,50732
0000085c,00000700,00080486,50794
00000834,00000001,000ffffe,51096
0000086c,00000002,000ffffe,51519
0000081c,00000001,000ffffe,51969
00000854,00000002,000ffffe,52196
00000834,00000001,000ffffe,52548
0000086c,00000002,000ffffe,52726
00000888,00000001,000ffffe,52814
0000085c,00000011,00080486,52875
00000888,00000001,000ffffe,52882
00000864,00000001,000ffffe,52894
0000088c,00000001,000ffffe,53172
00000878,00000007,00080401,53589
00000884,00000001,000ffffe,53789
00000888,00000001,000ffffe,54164
0000088c,00000001,000ffffe,54352
00000864,00000001,000ffffe,54686
0000084c,00000001,000ffffe,55125
0000088c,00000001,000ffffe,55345
0000084c,00000001,000ffffe,55727
0000087c,00000001,000ffffe,56158
00000854,00000002,000ffffe,56375
00000884,00000001,000ffffe,56754
00000818,0000000a,00080401,57193
00000854,00000002,000ffffe,57640
00000888,00000001,000ffffe,57867
00000878,00000007,00080401,58227
00000834,00000001,000ffffe,58638
0000085c,00000011,00080485,58863
00000878,00000007,00080401,58958
00000884,00000001,000ffffe,59005
0000084c,00000001,000ffffe,59032
00000834,00000001,000ffffe,59046
0000086c,00000002,000ffffe,59326
00000854,00000002,000ffffe,59466
00000864,00000001,000ffffe,59807
0000086c,00000002,000ffffe,60251
00000878,00000007,00080401,60478
00000834,00000001,000ffffe,60855
0000085c,00000011,00080486,61063
0000083c,00000002,000ffffe,61384
0000087c,00000001,000ffffe,61823
00000884,00000001,000ffffe,62283
00000834,00000001,000ffffe,63276
0000083c,00000002,000ffffe,63523
0000086c,00000002,000ffffe,63886
00000848,00000011,0008012a,64083
00000884,00000001,000ffffe,64398
00000864,00000001,000ffffe,64564
00000864,00000001,000ffffe,64887
00000818,0000000a,00080401,65058
00000808,00000001,000ffffe,65370
00000810,00000002,000ffffe,65532
00000884,00000001,000ffffe,65612
00000834,00000001,000ffffe,65653
00000854,00000002,000ffffe,65675
00000854,00000002,000ffffe,65692
00000818,0000000a,00080402,65694
0000086c,00000002,000ffffe,65967
0000087c,00000001,000ffffe,66104
00000884,00000001,000ffffe,66445
00000888,00000001,000ffffe,66616
0000088c,00000001,000ffffe,66702
00000854,00000002,000ffffe,67018
0000087c,00000001,000ffffe,67175
0000084c,00000001,000ffffe,67526
0000086c,00000002,000ffffe,68031
0000083c,00000002,000ffffe,68467
00000834,00000001,000ffffe,68924
00000878,00000007,00080402,69431
00000810,00000002,000ffffe,69677
00000854,00000002,000ffffe,69803
0000083c,00000002,000ffffe,70106
00000834,00000001,000ffffe,70257
00000878,00000007,00080402,70611
0000088c,00000001,000ffffe,71051
0000081c,00000001,000ffffe,71514
0000084c,00000001,000ffffe,71746
00000848,00000011,00080148,72118
0000088c,00000001,000ffffe,72520
00000848,00000011,0008014b,72985
00000864,00000001,000ffffe,73194
00000834,00000001,000ffffe,73307
00000864,00000001,000ffffe,73364
0000083c,00000002,000ffffe,73394
0000081c,00000001,000ffffe,73408
0000086c,00000002,000ffffe,73417
00000888,00000001,000ffffe,73692
00000864,00000001,000ffffe,74102
0000086c,00000002,000ffffe,74580
00000878,00000007,00080402,74824
0000087c,00000001,000ffffe,74938
0000084c,00000001,000ffffe,75238
00000848,00000011,00080155,75644
0000084c,00000001,000ffffe,76095
0000081c,00000001,000ffffe,76329
0000081c,00000001,000ffffe,76686
00000878,00000007,00080402,76871
00000808,00000001,000ffffe,76955
0000086c,00000002,000ffffe,77273
00000808,00000001,000ffffe,77431
00000878,00000007,00080402,77517
0000086c,00000002,000ffffe,77824
0000088c,00000001,000ffffe,78219
00000864,00000001,000ffffe,78689
0000084c,00000001,000ffffe,79196
00000848,00000011,00080163,79466
0000088c,00000001,000ffffe,79817
00000848,00000011,00080165,80017
00000888,00000001,000ffffe,80333
0000086c,00000002,000ffffe,80772
